username,url,title,type,relevance,last_activity,evidence_url,notes
reelsexpertreels,https://t.me/reelsexpertreels,REELS ЭКСПЕРТ | Ищу монтаж,channel,reels,2026-07-21,https://t.me/s/reelsexpertreels,Свежие вакансии для видеомонтажеров и Reels-мейкеров.
montage_search,https://t.me/montage_search,Ищу Монтажер | Вакансии | Работа,channel,montage,2026-07-22,https://t.me/s/montage_search?q=%23Shorts,Агрегирует заказы по монтажу Reels Shorts YouTube.
GetClient,https://t.me/GetClient,GetClient | Фриланс вакансии,channel,general_freelance,2026-07-22,https://t.me/s/GetClient/6614?q=%23Reels,Фриланс-вакансии; встречаются свежие задачи по Reels и видеоконтенту.
vacancysmm,https://t.me/vacancysmm,SMM работа вакансии фриланс,channel,general_freelance,2026-07-21,https://t.me/s/vacancysmm,Есть свежие задачи по AI-креативам видео Reels и монтажу.
vacantcist,https://t.me/vacantcist,чатик вакансий,channel,montage,2026-07-22,https://t.me/s/vacantcist?q=%23cist%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80,Свежие вакансии монтажеров Reels и YouTube.
searcheditorr,https://t.me/searcheditorr,Видеомонтаж | фриланс заказы,channel,montage,2026-07-22,https://t.me/s/SearchEditorr?before=1814,Профильный канал по видеомонтажу моушн-дизайну и Reels-заказам.
motionhunter,https://t.me/motionhunter,Motion designer hunter,channel,motion,2026-07-21,https://t.me/s/motionhunter,Профильные вакансии motion CG VFX и видеомонтажа.
video_editing_jobs,https://t.me/video_editing_jobs,video editing jobs,channel,montage,2026-07-21,https://t.me/s/video_editing_jobs,Свежие англоязычные вакансии Video Editor Shorts и AI video editing.
graphicsdesignjob,https://t.me/graphicsdesignjob,Graphics Designer Jobs,channel,montage,2026-07-22,https://t.me/s/graphicsdesignjob,Публикует свежие вакансии Video Editor из YT Jobs.
xcareers,https://t.me/xcareers,xCareers Digital Jobs,channel,montage,2026-07-20,https://telegram.me/s/xcareers?q=%23remote,Digital jobs; есть свежие remote video editor вакансии.
Maroset,https://t.me/Maroset,Maroset,channel,montage,2026-07-21,https://t.me/s/maroset?before=2324,Публикует вакансии Video Editors и Short-Form Editors.
indianmediajobs,https://t.me/indianmediajobs,Indian Media Jobs,channel,montage,2026-07-21,https://t.me/s/indianmediajobs?before=6755,Медиа-вакансии; есть свежие remote freelance video editor jobs.
CreativePortalJobs,https://t.me/CreativePortalJobs,Creative Portal Jobs,channel,montage,2026-07-22,https://t.me/s/CreativePortalJobs,Свежая вакансия Professional Video Editor remote.
freelancetaverna,https://t.me/freelancetaverna,Фриланс Таверна Official | Вакансии Удаленная работа,channel,general_freelance,2026-07-22,https://t.me/s/freelancetaverna/2557,Регулярные удаленные заказы; есть вакансии монтажера Reels TikTok Shorts.
freejobs5,https://t.me/freejobs5,هنوظفك,channel,montage,2026-07-08,https://t.me/s/freejobs5,Есть свежие remote video editor вакансии для Reels TikTok Shorts.
designwork_vacansii,https://t.me/designwork_vacansii,ВАКАНСИИ ДЛЯ ДИЗАЙНЕРА | РАБОТА,channel,motion,2026-07-01,https://search-t.me/channel/designwork_vacansii,Дизайн-вакансии; свежие motion/AI video вакансии.
zakaz_design,https://t.me/zakaz_design,ЗАКАЗЫ НА ДИЗАЙН | ДИЗАЙНЕРЫ | ВАКАНСИИ,channel,motion,2026-07-06,https://search-t.me/channel/zakaz_design,Есть свежие заказы для 2D Motion Designer и motion/AI video.
freeworkfeed,https://t.me/freeworkfeed,FreeWorkFeed - Фриланс удаленная работа,channel,motion,2026-06-07,https://search-t.me/channel/freeworkfeed,Свежие freelance-заказы; есть 3D Motion Designer.
workk_on,https://t.me/workk_on,WORK ON,channel,reels,2026-07-16,https://t.me/s/workk_on?after=17119,Регулярные проектные вакансии; есть монтажер Reels и ассистент видеомонтажа.
smmlancer,https://t.me/smmlancer,SMMLANCER - работа в соц.сетях,channel,reels,2026-07-22,https://t.me/s/smmlancer/6725?q=%23reels,Свежие SMM-заказы; регулярно встречаются Reels и видеомонтаж.
mskeventjob,https://t.me/mskeventjob,Event hunter - творческая работа Москва,channel,reels,2026-06-01,https://t.me/s/mskeventjob?q=%23%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D1%80_reels,Творческие вакансии; есть свежие задачи монтажера Reels.
adbranch_job,https://t.me/adbranch_job,Вакансии в медиа от AdBranch,channel,reels,2026-04-01,https://t.me/adbranch_job/1095,Fresh public post found for reels
bazuwork,https://t.me/bazuwork,Базу збирає вакансії,channel,reels,2026-06-05,https://t.me/bazuwork/1276,Fresh public post found for reels
comeindesign,https://t.me/comeindesign,"Леночка, войдите! Дизайн вакансии",channel,montage,2026-05-19,https://t.me/comeindesign/1362,Fresh public post found for tiktok
copy_digital,https://t.me/copy_digital,"Копирайтер, редактор - вакансии",channel,reels,2026-04-03,https://t.me/s/copy_digital?q=reels,Fresh public post found for reels
copy_go,https://t.me/copy_go,"Копирайтинг 2.0 | Вакансии, работа",channel,reels,2026-04-03,https://t.me/copy_go/7232,Fresh public post found for reels
cult_media,https://t.me/cult_media,культ✨медиа,channel,reels,2026-04-23,https://t.me/cult_media/3567,Fresh public post found for reels
design_jobs_uxui,https://t.me/design_jobs_uxui,Вакансии для Дизайнеров,channel,reels,2026-04-03,https://t.me/design_jobs_uxui/1106,Fresh public post found for reels
design_vacancy,https://t.me/design_vacancy,Вакансии для дизайнеров,channel,reels,2026-04-14,https://t.me/design_vacancy/2964,Fresh public post found for reels
designer_vacancies,https://t.me/designer_vacancies,Вакансии для дизайнеров,channel,reels,2026-04-21,https://t.me/designer_vacancies/3698,Fresh public post found for reels
designhub_jobs,https://t.me/designhub_jobs,Design Hub | Дизайн вакансии,channel,reels,2026-03-25,https://t.me/s/designhub_jobs?q=reels,Fresh public post found for reels
designhunters,https://t.me/designhunters,Design Hunters,channel,reels,2026-06-05,https://t.me/designhunters/7057,Fresh public post found for reels
designizer,https://t.me/designizer,Вакансии для дизайнеров,channel,reels,2026-05-09,https://t.me/designizer/4524,Fresh public post found for reels
designkziskra,https://t.me/designkziskra,Дизайн вакансии | Казахстан | Iskra Station,channel,reels,2026-05-21,https://t.me/designkziskra/2470,Fresh public post found for reels
designodromo,https://t.me/designodromo,"Дизайнодром: иллюстратор, дизайнер, моушн-дизайнер, художник",channel,reels,2026-07-08,https://t.me/designodromo/6860,Fresh public post found for reels
designs_job,https://t.me/designs_job,Уголок дизайнера | Вакансии,channel,youtube,2026-04-13,https://t.me/s/designs_job?q=youtube,Fresh public post found for youtube
designs_squad,https://t.me/designs_squad,Designs squad | Дизайн вакансии,channel,reels,2026-06-22,https://t.me/s/designs_squad?q=reels,Fresh public post found for reels
digital_jobster,https://t.me/digital_jobster,Джобстер Digital | Маркетинг | Вакансии и резюме,channel,reels,2026-06-09,https://t.me/digital_jobster/5890,Fresh public post found for reels
dsgn_vacancies,https://t.me/dsgn_vacancies,Заказы для дизайнеров | Вакансии,channel,reels,2026-03-31,https://t.me/dsgn_vacancies/5659,Fresh public post found for reels
dsgnworkers,https://t.me/dsgnworkers,Дизайн работа,channel,reels,2026-05-17,https://t.me/dsgnworkers/3558,Fresh public post found for reels
effoyjobs,https://t.me/effoyjobs,EffoyJobs - Effoysira.com,channel,montage,2026-03-27,https://t.me/effoyjobs/12150,Fresh public post found for shorts
ethiojobsofficial,https://t.me/ethiojobsofficial,Ethiojobs,channel,reels,2026-04-30,https://t.me/ethiojobsofficial/8302,Fresh public post found for reels
evacuatejobs,https://t.me/evacuatejobs,"Remocate: релокация, удалёнка, работа и вакансии",channel,motion,2026-06-24,https://t.me/evacuatejobs/6134,Fresh public post found for motion designer
forallmarketing,https://t.me/forallmarketing,Job for Marketing,channel,montage,2026-04-16,https://t.me/forallmarketing/8393,Fresh public post found for shorts
forallmedia,https://t.me/forallmedia,Job for Media & Content,channel,reels,2026-07-10,https://t.me/forallmedia/4130,Fresh public post found for reels
fordesigner,https://t.me/fordesigner,Job for Designers,channel,montage,2026-04-16,https://t.me/fordesigner/5919,Fresh public post found for video editor
freelance_ethio,https://t.me/freelance_ethio,Afriwork (Freelance Ethiopia),channel,reels,2026-04-08,https://t.me/freelance_ethio/95314,Fresh public post found for reels
freelanceeboom,https://t.me/freelanceeboom,Копирайтер на фрилансе? Заходи!,channel,reels,2026-04-03,https://t.me/freelanceeboom/3445,Fresh public post found for reels
freelansta,https://t.me/freelansta,"ФРИЛАНСТА • вакансии для копирайтеров, журналистов, редакторов",channel,reels,2026-05-12,https://t.me/freelansta/939,Fresh public post found for reels
frilans,https://t.me/frilans,Фриланс | Удаленная работа,channel,reels,2026-07-02,https://t.me/frilans/988,Fresh public post found for reels
frilans_na_legke,https://t.me/frilans_na_legke,ФРИЛАНС НАЛЕГКЕ,channel,reels,2026-04-24,https://t.me/frilans_na_legke/5725,Fresh public post found for reels
frilanser_vacansii,https://t.me/frilanser_vacansii,ФРИЛАНСЕР удаленная работа и вакансии,channel,reels,2026-07-12,https://t.me/frilanser_vacansii/16608,Fresh public post found for reels
frwork3,https://t.me/frwork3,"Фриланс, удаленная работа, вакансии",channel,reels,2026-04-24,https://t.me/s/frwork3?q=reels,Fresh public post found for reels
godnayarabota,https://t.me/godnayarabota,годная работа,channel,reels,2026-07-14,https://t.me/godnayarabota/544,Fresh public post found for reels
harmeejobs,https://t.me/harmeejobs,Harmeejobs.com,channel,montage,2026-05-25,https://t.me/harmeejobs/10885,Fresh public post found for video editor
ingamejob_marketing,https://t.me/ingamejob_marketing,Jobs: Marketing and PR | InGameJob.com,channel,montage,2026-06-26,https://t.me/ingamejob_marketing/4049,Fresh public post found for video editor
job_design,https://t.me/job_design,РАБОТА. ДИЗАЙН ИНТЕРЬЕРА,channel,reels,2026-05-08,https://t.me/job_design/2527,Fresh public post found for reels
